,date,team,formation,team_xGoals,team_xAssists,rolling_team_xGoals,rolling_team_xAssists
81,2020-10-26,roma,"['irante', 'ibanez', 'mancini', 'kumbulla', 'karsdorp', 'veretout', 'pellegrini', 'spinazzola', 'pedro', 'mkhitaryan', 'dzeko']",-1.3399999999999999,-0.7199999999999999,-1.9799999999999998,-1.7066666666666663
82,2020-10-31,atalanta,"['iello', 'sutalo', 'romero', 'palomino', 'hateboer', 'pasalic', 'pessina', 'mojica', 'malinovskyi', 'gomez', 'muriel']",3.7499999999999996,2.38,2.07,3.025
83,2020-10-31,bologna,"['skorupski', 'de silvestri', 'danilo', 'tomiyasu', 'hickey', 'schouten', 'svanberg', 'orsolini', 'soriano', 'barrow', 'palacio']",2.35,-1.23,1.3499999999999999,-0.5650000000000002
84,2020-10-31,cagliari,"['cragno', 'zappa', 'walukiewicz', 'godin', 'lykogiannis', 'marin', 'rog', 'nandez', 'joao pedro', 'sottil', 'simeone']",4.49,2.3000000000000003,0.4675,0.8125
85,2020-10-31,inter,"['handanovic', 'de vrij', 'ranocchia', 'kolarov', 'hakimi', 'barella', 'gagliardini', 'darmian', 'eriksen', 'perisic', 'lautaro']",-1.32,1.04,-0.9749999999999999,0.5625
86,2020-10-31,parma,"['sepe', 'iacoponi', 'gagliolo', 'osorio', 'pezzella', 'grassi', 'cyprien', 'kurtic', 'kucka', 'cornelius', 'gervinho']",-0.5800000000000001,-0.98,-0.07999999999999993,0.175
87,2020-10-31,crotone,"['cordaz', 'magallan', 'marrone', 'luperto', 'pedro pereira', 'petriccione', 'vulic', 'benali', 'reca', 'messias', 'simy']",-1.6199999999999997,-0.4,-1.0274999999999999,-0.5549999999999999
88,2020-11-01,milan,"['donnarumma', 'calabria', 'kjaer', 'romagnoli', 'theo hernandez', 'kessié', 'bennacer', 'saelemaekers', 'calhanoglu', 'leao', 'ibrahimovic']",0.20000000000000007,-2.4499999999999997,-0.9650000000000001,-0.9
89,2020-11-01,fiorentina,,3.4499999999999997,1.56,-0.3150000000000001,-0.5325
90,2020-11-01,roma,,-1.6700000000000004,-0.8200000000000002,-1.8199999999999998,-1.46
91,2020-11-01,genoa,,0.72,1.7899999999999998,0.4699999999999999,2.3433333333333333
92,2020-11-01,juventus,"['buffon', 'cuadrado', 'bonucci', 'demiral', 'danilo', 'kulusevski', 'arthur', 'bentancur', 'chiesa', 'dybala', 'morata']",0.96,-1.04,0.8433333333333333,0.033333333333333326
93,2020-11-01,lazio,,0.1600000000000001,-0.9,-0.49,-0.26
94,2020-11-01,napoli,"['spina', 'di lorenzo', 'manolas', 'koulibaly', 'hysaj', 'bakayoko', 'fabiàn', 'politano', 'mertens', 'lozano', 'osimhen']",4.3999999999999995,4.990000000000001,2.986666666666667,2.09
95,2020-11-01,udinese,,-6.12,-2.5,-3.1574999999999998,-1.0450000000000002
96,2020-11-01,sassuolo,"['consigli', 'muldur', 'chirches', 'ferrari', 'kyriakopoulos', 'obiang', 'locatelli', 'berardi', 'maxime lopez', 'boga', 'raspadori']",0.74,0.91,0.4075000000000001,0.9625
97,2020-11-01,spezia,"['provedel', 'ferrer', 'chabot', 'terzi', 'marchizza', 'bartolomei', 'ricci', 'pobega', 'verde', 'nzola', 'gyasi']",0.27999999999999997,2.29,0.19249999999999998,1.1425
98,2020-11-01,sampdoria,,1.5500000000000003,0.6599999999999999,-0.14250000000000007,0.06249999999999998
99,2020-11-01,torino,,2.56,1.42,0.86,0.6399999999999999
100,2020-11-02,verona,,-1.5400000000000003,-0.44000000000000006,-0.92,-0.9225000000000001
101,2020-11-02,benevento,"['ontipò', 'letizia', 'glik', 'caldirola', 'foulon', 'ionita', 'schiattarella', 'dabo', 'insigne', 'caprari', 'lapadula']",4.2700000000000005,0.72,2.7725,0.18749999999999994
102,2020-11-04,genoa,"['perin', 'ghiglione', 'bani', 'goldaniga', 'pellegrini', 'melegoni', 'radovanovic', 'rovella', 'pjaca', 'parigini', 'scamacca']",0.05999999999999989,0.03999999999999959,0.5325,2.205
103,2020-11-04,torino,"['sirigu', 'vojvoda', 'bremer', 'lyanco', 'rodriguez', 'meité', 'rincon', 'linetty', 'lukic', 'belotti', 'bonazzoli']",5.039999999999999,1.57,1.2850000000000001,0.835
104,2020-11-06,udinese,,-1.7400000000000004,-2.1900000000000004,-3.75,-1.336
105,2020-11-06,sassuolo,,-0.10000000000000031,0.7499999999999999,0.47400000000000003,0.952
106,2020-11-07,fiorentina,,2.5000000000000004,1.87,0.4379999999999999,-0.11399999999999996
107,2020-11-07,cagliari,,5.15,3.72,1.272,1.11
108,2020-11-07,parma,,1.4,-0.37,-0.17999999999999997,-0.05600000000000001
109,2020-11-07,spezia,,2.5,2.56,0.20999999999999996,1.372
110,2020-11-07,sampdoria,,2.01,1.2999999999999998,0.196,0.18199999999999997
